Flow Bytes/s,Flow Packets/s,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Flow IAT Mean,Fwd Packet Length Mean,Max Packet Length,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,Active Mean,Min Packet Length,Subflow Fwd Packets,Label
513916.77305993065,9345.29872235188,,9245012,127,0,446.2391788528752,54.99201131267809,60,0,0,-1,0,28,127,ARP_Spoofing
840555.6233874707,18231.632341212422,,1190268,139,0,66.93780186997562,46.10424385793493,60,0,0,-1,0,28,139,ARP_Spoofing
269895.4117204348,9045.136347561485,,7696173,164,0,20.185777400219667,29.838733364500023,60,0,0,-1,0,28,164,ARP_Spoofing
413429.6683945398,12125.383193561169,,2285409,158,0,432.54965424773087,34.0962146758446,60,0,0,-1,0,28,158,ARP_Spoofing
776989.7828081911,19599.611815297634,,6679249,131,0,42.33423532900461,39.6431210031285,60,0,0,-1,0,28,131,ARP_Spoofing
380373.9239231351,11970.331234666093,,8056671,38,0,279.060319361085,31.77639085053651,60,0,0,-1,0,28,38,ARP_Spoofing
78632.35529326276,1594.8722875446354,,8155436,198,0,494.860987525336,49.303230050050075,60,0,0,-1,0,28,198,ARP_Spoofing
491082.28122559475,13798.521238777083,,8134005,74,0,423.5421057113595,35.589486201284984,60,0,0,-1,0,28,74,ARP_Spoofing
71970.51994924429,2563.614118820239,,5071627,121,0,481.70783063751065,28.073850670772842,60,0,0,-1,0,28,121,ARP_Spoofing
440774.1705063822,11598.694096695046,,9042897,90,0,117.02430109357469,38.00205150957272,60,0,0,-1,0,28,90,ARP_Spoofing
407637.5785663002,11765.174958604592,,7787168,187,0,414.5857855198372,34.647812718515496,60,0,0,-1,0,28,187,ARP_Spoofing
267726.40603702894,6321.324712095909,,3630653,94,0,127.00884064501578,42.35289567149306,60,0,0,-1,0,28,94,ARP_Spoofing
384653.0877540241,7929.284240667471,,8101908,76,0,322.093457893391,48.510442566962986,60,0,0,-1,0,28,76,ARP_Spoofing
376073.352164369,12984.384896658303,,8964065,163,0,23.04108245468311,28.963509258043967,60,0,0,-1,0,28,163,ARP_Spoofing
196766.8421186072,3640.7147741674607,,2587547,143,0,134.73202654936475,54.0462118907963,60,0,0,-1,0,28,143,ARP_Spoofing
321106.7932406401,7778.411261047066,,1490844,43,0,30.331178612392684,41.28179681738959,60,0,0,-1,0,28,43,ARP_Spoofing
389511.9478400509,9631.503805790357,,5670389,185,0,193.25052543475587,40.44144670387614,60,0,0,-1,0,28,185,ARP_Spoofing
386102.264649288,13084.508570295597,,6696392,110,0,43.58399881249925,29.508350472238288,60,0,0,-1,0,28,110,ARP_Spoofing
240512.61464531958,5332.782513902512,,4480947,149,0,221.77372299303175,45.100773192663596,60,0,0,-1,0,28,149,ARP_Spoofing
830084.4658926952,16731.96142356254,,1524302,120,0,329.8348428946448,49.61070880331704,60,0,0,-1,0,28,120,ARP_Spoofing
929809.5028249344,16059.152281560631,,2459798,111,0,276.9570165110556,57.89904015622021,60,0,0,-1,0,28,111,ARP_Spoofing
115427.53847665852,2514.5438780546547,,1961108,149,0,132.04568690117483,45.90396671302375,60,0,0,-1,0,28,149,ARP_Spoofing
109252.16757472856,2937.0040889917627,,8767083,150,0,138.52518242921067,37.19850714005423,60,0,0,-1,0,28,150,ARP_Spoofing
656190.8659257984,15924.385346557689,,3637350,198,0,469.1929482035723,41.20666836711815,60,0,0,-1,0,28,198,ARP_Spoofing
365258.58810790384,9522.021246538327,,7136371,120,0,296.80263337240746,38.3593544533091,60,0,0,-1,0,28,120,ARP_Spoofing
249090.55128498378,6287.192969486523,,1390242,135,0,277.49839339936676,39.61872213782665,60,0,0,-1,0,28,135,ARP_Spoofing
256873.28912463973,4387.484014324497,,5723267,164,0,441.59658998630545,58.546831916876684,60,0,0,-1,0,28,164,ARP_Spoofing
121803.9326478185,4300.795183590845,,875635,164,0,463.5856747252558,28.321258615743062,60,0,0,-1,0,28,164,ARP_Spoofing
362970.16364463774,8886.976376579678,,2951149,123,0,393.27103555712034,40.84293107847033,60,0,0,-1,0,28,123,ARP_Spoofing
